theta,value
1e-05,0.242118
0.10001,0.242105
0.20001,0.195114
0.30001,-1.03973
0.40001,-6.53733
0.500009,-18.2728
0.600009,-36.123
0.700009,-58.9534
0.800009,-85.463
0.900009,-114.52
1.00001,-145.237
1.10001,-176.947
1.20001,-209.165
1.30001,-241.538
1.40001,-273.814
1.50001,-305.817
1.60001,-337.42
1.70001,-368.539
1.80001,-399.117
1.90001,-429.118
2.00001,-458.521
2.10001,-487.316
2.20001,-515.502
2.30001,-543.083
2.40001,-570.068
2.50001,-596.468
2.60001,-622.296
2.70001,-647.567
2.80001,-672.298
2.90001,-696.503
3.00001,-720.2
3.10001,-743.405
3.20001,-766.133
3.30001,-788.4
3.40001,-810.223
3.50001,-831.614
3.60001,-852.59
3.70001,-873.164
3.80001,-893.35
3.90001,-913.159
4.00001,-932.606
4.10001,-951.701
4.20001,-970.456
4.30001,-988.882
4.40001,-1006.99
4.50001,-1024.79
4.60001,-1042.29
4.70001,-1059.5
4.80001,-1076.43
4.90001,-1093.09
5,-1109.49
5.1,-1125.63
5.2,-1141.52
5.3,-1157.17
5.4,-1172.58
5.5,-1187.77
5.6,-1202.73
5.7,-1217.49
5.8,-1232.03
5.9,-1246.37
6,-1260.51
6.1,-1274.45
6.2,-1288.21
6.3,-1301.79
6.4,-1315.19
6.5,-1328.41
6.6,-1341.47
6.7,-1354.35
6.8,-1367.08
6.9,-1379.65
7,-1392.07
7.1,-1404.34
7.2,-1416.46
7.3,-1428.44
7.4,-1440.28
7.5,-1451.98
7.6,-1463.55
7.7,-1474.98
7.8,-1486.29
7.9,-1497.48
8,-1508.54
8.1,-1519.48
8.2,-1530.31
8.3,-1541.02
8.4,-1551.62
8.5,-1562.11
8.6,-1572.49
8.7,-1582.76
8.8,-1592.94
8.9,-1603.01
9,-1612.98
9.1,-1622.85
9.2,-1632.63
9.3,-1642.31
9.4,-1651.9
9.5,-1661.41
9.6,-1670.82
9.7,-1680.15
9.8,-1689.39
9.9,-1698.54
10,-1707.62
